ARC310,1,AKd1,MW 01:00 PM - 04:10 PM,OAT1001,15(15)
ARC310,2,MTm2,MW 01:00 PM - 04:10 PM,OAT1001_v,8(15)
ARC316,1,SqR,STR 09:40 AM - 12:50 PM,OAT902,23(25)
ARC317,1,AKd1,STWR 09:40 AM - 12:50 PM,OAT1001,18(20)
ARC318,1,HUR,STWR 09:40 AM - 12:50 PM,SAC802,14(14)
ARC318,2,TvH,STWR 09:40 AM - 12:50 PM,SAC802_v,10(14)
ARC324,1,Rqh,ST 01:00 PM - 04:10 PM,OAT803,5(20)
ARC324,2,MTm2,ST 01:00 PM - 04:10 PM,OAT803_v,20(20)
ARC334,1,AHs1,W 08:00 AM - 09:30 AM,OAT901,21(35)
ARC343,1,Mun,MW 01:00 PM - 02:30 PM,LIB907,27(35)
ARC344,1,HUR,R 01:00 PM - 03:00 PM,LIB907,35(35)
ARC344,2,HUR,R 03:00 PM - 06:10 PM,LIB907_v,25(35)
ARC384,1,TvM,MW 04:20 PM - 05:50 PM,OAT901,27(35)
ARC410,3,SJd,ST 01:00 PM - 02:30 PM,LIB907,20(20)
ARC410,4,STS3,ST 01:00 PM - 02:30 PM,LIB907_v,20(20)
ARC418,1,IsH,STWR 09:40 AM - 12:50 PM,LIB901,20(20)
ARC418,2,MTm2,STWR 09:40 AM - 12:50 PM,LIB901_v,11(20)
ARC419,1,SIK3,STWR 09:40 AM - 12:50 PM,OAT903,15(20)
ARC437,1,HUR,S 08:00 AM - 09:30 AM,OAT901,35(35)
ARC437,2,SJd,S 08:00 AM - 09:30 AM,LIB907,13(35)
ARC445,1,SIK3,T 01:00 PM - 02:30 PM,NAC313,28(35)
ARC453,1,NAw,MW 08:00 AM - 09:30 AM,SAC202,29(35)
ARC474,1,TBA,ST 08:00 AM - 09:30 AM,SAC202,21(35)
ARC492,1,TBA,M 09:40 AM - 12:50 PM,OAT901,17(35)
ARC500,1,HUR,R 01:00 PM - 03:00 PM,TBA,20(25)
ARC510,1,SnF,STR 09:40 AM - 12:50 PM,LIB905,15(15)
ARC510,2,AAd1,STR 09:40 AM - 12:50 PM,LIB905_v,12(15)
ARC519,1,NAw,STR 09:40 AM - 12:50 PM,LIB904,11(12)
ARC519,2,Rqh,STR 09:40 AM - 12:50 PM,LIB904_v,12(12)
ARC535,1,IsH,T 02:40 PM - 04:10 PM,OAT901,22(35)
ARC535,2,IsH,S 02:40 PM - 04:10 PM,OAT901,16(35)
ARC576,1,RMY,ST 08:00 AM - 09:30 AM,NAC303,33(40)
ARC596,1,Mzc,STR 09:40 AM - 12:50 PM,LIB903,15(15)
ARC596,2,Fmq1,STR 09:40 AM - 12:50 PM,LIB903_v,12(15)
ARC598,1,NAw,S 02:40 PM - 04:10 PM,SAC415,4(35)
BBT207/BBT221,1,ZAB,ST 09:40 AM - 11:10 AM,SAC403,40(40)
BBT207/BBT221,2,ZAB,ST 01:00 PM - 02:30 PM,SAC406,24(40)
BBT230,1,PyN,MW 11:20 AM - 12:50 PM,LIB610,30(30)
BBT308/BBT403/BBT413,1,CAK,ST 02:40 PM - 04:10 PM,SAC406,26(40)
BBT312,1,MSH3,ST 11:20 AM - 12:50 PM,SAC406,33(40)
BBT312L,1,IJn,R 01:00 PM - 04:10 PM,SAC412_v,16(20)
BBT312L,2,IJn,R 01:00 PM - 04:10 PM,SAC412_v2,20(20)
BBT314,1,KNH,ST 11:20 AM - 12:50 PM,SAC404,40(40)
