127,ARC343,1,MUN,MW 04:20 PM - 05:50 PM
128,ARC344,1,HUR,W 09:40 AM - 11:10 AM
129,ARC384,1,TBA,R 01:00 PM - 04:10 PM
130,ARC410,1,ALS,ST 11:20 AM - 12:50 PM
131,ARC418,1,MFN,STMW 01:00 PM - 04:10 PM
132,ARC419,1,SJD,STMW 01:00 PM - 04:10 PM
133,ARC419,2,SNF,STMW 01:00 PM - 04:10 PM
134,ARC445,1,SIK3,W 09:40 AM - 11:10 AM
135,ARC453,1,ALS,MW 08:00 AM - 09:30 AM
136,ARC456,1,FAR,MW 04:20 PM - 05:50 PM
137,ARC492,1,FAR,W 09:40 AM - 11:10 AM
138,ARC500,1,HUR,TBA
139,ARC510,1,KDI,STW 01:00 PM - 04:10 PM
140,ARC510,2,MKU,STW 01:00 PM - 04:10 PM
141,ARC519,1,ZKS,STW 01:00 PM - 04:10 PM
142,ARC576,1,RMY,ST 08:00 AM - 09:30 AM
143,ARC596,1,SIK3,STW 01:00 PM - 04:10 PM
144,ARC596,2,Cancelled,STW 01:00 PM - 04:10 PM
145,ARC598,1,SQR,W 09:40 AM - 12:50 PM
146,BBT201/CHE201,1,MH1,MW 02:40 PM - 04:10 PM
147,BBT201/CHE201,2,Cancelled,ST 02:40 PM - 04:10 PM
148,BBT202/CHE202,1,MSH3,RA 09:40 AM - 11:10 AM
149,BBT202/CHE202,2,Cancelled,ST 08:00 AM - 09:30 AM
150,BBT203,1,Mqn,MW 01:00 PM - 02:30 PM
151,BBT204,1,MSH3,RA 01:00 PM - 02:30 PM
152,BBT205,1,ZAB,ST 09:40 AM - 11:10 AM
153,BBT206,1,KNH,MW 11:20 AM - 12:50 PM
154,BBT207/BBT313/MIC313,1,ZAB,MW 09:40 AM - 11:10 AM
155,BBT207/BBT313/MIC313,2,Cancelled,MW 04:20 PM - 05:50 PM
156,BBT230,1,Mqn,MW 01:00 PM - 02:30 PM
